ContractName,Open,High,Low,Close,Settlement,Volume,OpenInterest
Cal-2018,30.9,30.9,30.05,30.1,30.08,0,0
Cal-2018,30.1,30.1,28.7,28.7,29.26,0,0
Cal-2018,28.6,29.3,28.6,29.3,29.05,0,0
Cal-2018,29.1,29.8,29.1,29.4,29.6,0,0
Cal-2018,29.65,29.65,28.5,28.57,28.71,0,0
Cal-2018,29.0,29.1,28.15,28.7,28.42,0,0
Cal-2018,28.9,30.0,28.85,30.0,29.74,0,0
Cal-2018,30.3,30.9,30.15,30.85,30.65,0,0
Cal-2018,31.0,31.05,30.2,30.25,30.41,0,0
Cal-2018,30.05,30.55,29.85,30.2,30.29,0,0
Cal-2018,30.0,30.0,29.34,29.39,29.47,0,0
Cal-2018,29.25,30.5,29.25,30.45,30.35,0,0
Cal-2018,30.65,30.75,30.03,30.15,30.47,0,0
Cal-2018,30.55,30.85,29.92,30.11,30.11,0,0
Cal-2018,29.95,30.9,29.9,30.8,30.79,0,0
Cal-2018,30.93,31.5,30.9,31.25,31.2,0,0
Cal-2018,31.0,31.0,30.36,30.36,30.5,0,0
Cal-2018,30.45,30.45,29.55,29.55,29.9,0,0
Cal-2018,29.55,29.84,29.2,29.75,29.6,0,0
Cal-2018,29.45,29.5,28.95,29.0,29.07,0,0
Cal-2018,29.3,29.75,29.25,29.7,29.6,0,0
Cal-2018,30.1,30.25,29.8,30.1,30.1,0,0
Cal-2018,30.25,30.6,30.1,30.2,30.3,0,0
Cal-2018,30.17,30.55,29.99,30.4,30.3,0,0
Cal-2018,30.25,30.5,29.85,29.9,30.02,0,0
Cal-2018,29.7,29.84,29.55,29.75,29.76,0,0
Cal-2018,29.65,30.3,29.47,30.14,29.9,0,0
Cal-2018,29.8,30.15,29.75,30.05,30.01,0,0
Cal-2018,30.2,30.52,30.03,30.35,30.4,0,0
Cal-2018,30.1,30.24,29.95,30.06,29.96,0,0
Cal-2018,29.6,29.9,29.5,29.5,29.63,0,0
Cal-2018,29.55,29.85,29.5,29.8,29.6,0,0
Cal-2018,29.85,30.25,29.85,30.15,30.22,0,0
Cal-2018,30.35,30.4,29.95,30.0,30.12,0,0
Cal-2018,29.9,30.2,29.8,30.15,30.09,0,0
